time_s,voltage_V,current_A
0,0,0.005
4.01901829041533e-06,0.000200946876447859,0.00499979905312355
2.4114109742492e-05,0.00120556012623683,0.00499879443987376
0.000124589567002875,0.00622559932121463,0.00499377440067879
0.000626966853304791,0.031250275862272,0.00496874972413773
0.00313885328481437,0.154505134320276,0.00484549486567972
0.0156982854423623,0.726406427565242,0.00427359357243476
0.0722432657232961,2.57209859635914,0.00242790140364086
0.144440203769621,3.82039796272633,0.00117960203727367
0.230941123365875,4.50311758280353,0.00049688241719647
0.333165029164858,4.82096813376824,0.000179031866231762
0.45500458945772,4.94677421279143,5.32257872085688e-05
0.603212108473171,4.98761268613398,1.23873138660217e-05
0.789151760342922,4.99777567076688,2.22432923312199e-06
0.989151760342922,4.99961444959959,3.85550400407858e-07
1.18915176034292,4.99993317126393,6.6828736070175e-08
1.38915176034292,4.99998841635241,1.15836475854045e-08
1.58915176034292,4.99999799216775,2.00783224768575e-09
1.78915176034292,4.99999965197574,3.48024255247825e-10
1.98915176034292,4.9999999396758,6.03242030980389e-11
2.18915176034292,4.9999999895438,1.04561949376691e-11
2.38915176034292,4.99999999818759,1.81240699531626e-12
2.58915176034292,4.99999999968585,3.14151482605496e-13
2.78915176034292,4.99999999994555,5.4452969910912e-14
2.98915176034292,4.99999999999056,9.43863043278981e-15
3.18915176034292,4.99999999999836,1.63584423784613e-15
3.38915176034292,4.99999999999972,2.84494650060196e-16
3.58915176034292,4.99999999999995,4.85722573273506e-17
3.78915176034292,4.99999999999999,8.67361737988404e-18
3.98915176034292,5,8.67361737988404e-19
4.18915176034292,5,0
4.38915176034292,5,0
4.58915176034292,5,0
4.78915176034292,5,0
4.98915176034292,5,0
5.18915176034292,5,0
5.38915176034292,5,0
5.58915176034292,5,0
5.78915176034292,5,0
5.98915176034292,5,0
6.18915176034292,5,0
6.38915176034292,5,0
6.58915176034292,5,0
6.78915176034293,5,0
6.98915176034293,5,0
7.18915176034293,5,0
7.38915176034293,5,0
7.58915176034293,5,0
7.78915176034293,5,0
7.98915176034293,5,0
8.18915176034293,5,0
8.38915176034292,5,0
8.58915176034292,5,0
8.78915176034292,5,0
8.98915176034292,5,0
9.18915176034292,5,0
9.38915176034292,5,0
9.58915176034292,5,0
9.78915176034292,5,0
9.98915176034292,5,0
10,5,0
